zipcode,avg_rating
98033,7.444444444444445
98034,6.090909090909091
98001,4.0
98002,3.888888888888889
98092,4.636363636363637
98030,4.5
98031,4.111111111111111
98032,3.1666666666666665
98042,5.166666666666667
98102,8.0
98103,6.5
98105,7.5
98106,3.0
98107,6.0
98108,5.2
98109,7.0
98112,5.0
98115,7.666666666666667
98116,7.666666666666667
98117,9.5
98118,4.0
98119,8.0
98122,3.5
98125,5.0
98126,6.5
98133,6.5
98136,7.0
98144,4.333333333333333
98146,4.0
98178,4.5
98199,9.0
98033,7.444444444444445
98034,6.090909090909091
98074,8.5
98075,8.6
98052,7.545454545454546
98053,8.4
98146,4.5
98148,3.5
98166,3.6666666666666665
98168,2.0
98072,7.4
98077,7.5
